English,Target,Score_english,Score_target,Notes
"The book The Tyranny of the Market was written by Joel Waldfogel and published on October 15, 2007 in the United States by Harvard University Press. The book is a non-fiction work.",《市场暴政》一书由乔尔·沃尔德福格尔撰写，2007 年 10 月 15 日由哈佛大学出版社在美国出版。这本书是一部非小说作品。,,10,
"Andrian, South Tyrol is bounded by Eppan an der Weinstraße.","Andrian, South Tyrol 以 Eppan an der Weinstraße 为界。",,10,
"Franz Cisar was born in Vienna, Austria-Hungary, on November 28, 1908. He was a football player for Austria-Hungary and he was a man of letters.",弗朗茨·西萨尔 (Franz Cisar) 于 1908 年 11 月 28 日出生于奥匈帝国的维也纳。他是奥匈帝国的一名足球运动员，是一位文人。,,10,
The neighbouring town of Kaltern an der Weinstraße is Eppan an der Weinstraße.,邻近的 Kaltern an der Weinstraße 镇是 Eppan an der Weinstraße。,,8,
"Landry Dimata was born in the Democratic Republic of the Congo on September 1st, 1997. He is a male association football player who represented Belgium.",兰德里·迪马塔（Landry Dimata），1997年9月1日出生于刚果民主共和国，是一名代表比利时的男足足球运动员。,,10,
Which gender has the most people?,哪个性别的人最多？,,10,
Is Karolina Wigura's job a journalist?,Karolina Wigura 的工作是记者吗？,,9,
What job has had the highest number of people working there?,什么工作在那里工作的人数最多？,,8,
Who has had the fewest jobs?,谁的工作最少？,,10,"Ambiguous, score target is 10 if jobs refer to things to do, but 6 if it means occupation experience"
Which gender has the fewest people?,哪个性别的人最少？,,10,
How many people are politician?,有多少人是政治家？,,10,
What does Denisa Vyšnovská do?,Denisa Vyšnovská 是做什么的？,,10,
Which people are male?,哪些人是男性？,,10,
Was Democratic Republic of the Congo the birthplace of André Masson?,刚果民主共和国是安德烈·马松的出生地吗？,,10,
How many people are female?,有多少人是女性？,,10,
Is Roland Freund male?,罗兰弗洛因德是男的吗？,,9,
Where has someone from United States of America gone to university?,美利坚合众国的人在哪里上过大学？,,8,
The North American P-51 Mustang has a total produced of +16974.,北美 P-51 Mustang 的总产量为 +16974。,,10,
NSB Class 66 is produced in total of 4 units.,NSB Class 66 共生产 4 台。,,10,
The Almirante Grau-class cruiser had a production total of 2 ships.,Almirante Grau级巡洋舰共生产了2艘。,,10,
"The neighbouring town to Swarkestone is Melbourne, Derbyshire.",Swarkestone 的邻近城镇是德比郡的墨尔本。,,10,
The total produced by the Highland Railway W Class is 4.,高地铁路W级共生产4辆。,,10,
Joel Funk Asper is a human being from the United States of America a member of the Republican Party in the U.S.A. and is a man.,Joel Funk Asper 是来自美利坚合众国的人，是美国共和党的成员，并且是男性。,,9,
The British Rail Class 42 has a total production of +38.,British Rail Class 42 的总产量为+38。,,10,
"Stanton by Bridge is a town in Derbyshire which is part of the Melbourne , Derbyshire conurbation.",Stanton by Bridge 是德比郡的一个小镇，是德比郡墨尔本大都市的一部分。,,10,
Mark 35 torpedo total production is +400.,Mark 35 鱼雷总产量为 +400。,,10,
"The total produced Junkers Ju 90 is 18,000.","Junkers Ju 90 的总产量为 18,000 辆。",,10,
Ticknall is bordered by Melbourne Derbyshire.,蒂克纳尔与墨尔本德比郡接壤。,,10,
The total produced by the Indian locomotive class XE is +93.,印度机车类XE的总产量为+93。,,10,
CGR 1st Class 0-4-0ST 1876 had a total of 3 engines.,CGR 1st Class 0-4-0ST 1876 共有 3 台发动机。,,10,
The total production of the BMW 3 Series (E30) is +2339520.,BMW 3 系 (E30) 的总产量为 +2339520。,,10,
The total produced Citroën Méhari is +144953.,Citroën Méhari 的总产量为 +144953。,,10,
The Cessna 340 has a total production of 1351 aircraft.,赛斯纳340共生产了1351架飞机。,,10,
"Dornier Do 26 is a monoplane flying boat with a total of 6 produced. Its first flight was May 21, 1938.",Dornier Do 26 是单翼飞行艇，共生产了 6 艘。它的首飞是 1938 年 5 月 21 日。,,9,
7.5 cm Infanteriegeschütz 37 is manufactured in a total of +1304.,7.5 厘米 Infanteriegeschütz 37 的总产量为 +1304。,,10,
The New South Wales Z20 class locomotive was produced in a total of 33 units.,新南威尔士Z20级机车共生产33台。,,10,
"Calke is a village and civil parish in South Derbyshire, United Kingdom. Melbourne, Derbyshire is a neighbouring city.",Calke是英国南德比郡的一个村庄和公民教区。墨尔本，德比郡是一个邻近的城市。,,10,
The South African Class 8Y 2-8-0 produced a total of 4.,南非级8Y 2-8-0一共生产了4辆。,,10,
What items are there?,有哪些项目？,,10,
What is the most abundant item?,最丰富的项目是什么？,,10,
How many things were manufactured?,制造了多少东西？,,10,
What was the largest production run?,最大的生产运行是什么？,,9,
What was the smallest production run?,最小的生产量是多少？,,10,
The SJ T45 has a total of 5 units.,SJ T45共有5个单元。,,10,
The South African Class 32-000 had a total produced of 115.,南非 32-000 级共生产了 115 架。,,10,
The Swiss made Saurer 2DM truck was manufactured by Saurer and entered service in 1964. The total production of the truck is 3200.,瑞士制造的 Saurer 2DM 卡车由 Saurer 制造并于 1964 年投入使用。卡车的总产量为 3200 辆。,,9,
South African Class FD 2-6-2+2-6-2 has a total production of 4.,南非级 FD 2-6-2+2-6-2 共生产 4 艘。,,9,
The total produced by Schmidt-Rubin is 1366228.,Schmidt-Rubin 的总产量是 1366228。,,10,
The South African Class 35-600 produced a total of 101 cars.,南非 35-600 级共生产了 101 辆汽车。,,10,
The total produced by LCDR Sondes class +6.,LCDR Sondes class +6 产生的总数。,,8,
Porsche 550 was made in total of +90.,保时捷 550 总共制造了 +90。,,10,
The total produced by the Messerschmitt Bf 110 is +6170.,Messerschmitt Bf 110 的总产量为 +6170。,,10,
The NZR RM class (Clayton) has a total of +1 cars made.,NZR RM 级（克莱顿）总共制造了 +1 辆汽车。,,10,
Ceinture 51 to 65 produced +15.,Ceinture 51 到 65 产生 +15。,,9,
The total produced of M3 howitzers is +2580.,M3榴弹炮的总产量为+2580。,,10,
The AEG D.I total produced +3.,AEG D.I 总产量 +3。,,10,
John Sipin is a US national who plays second base for the San Diego Padres. He is known for being a human being.,John Sipin 是美国国民，为圣地亚哥教士队打二垒。他以作为一个人而闻名。,,10,
The Bliss-Leavitt Mark 3 torpedo produced a total of +208.,Bliss-Leavitt Mark 3 鱼雷总共产生了 +208。,,10,
"John Sipin was born in Watsonville, California on August 29, 1946 . He is a United States of America and a baseball player . He has won the US men's championship in baseball.",John Sipin 于 1946 年 8 月 29 日出生于加利福尼亚州的沃森维尔。他是美利坚合众国和棒球运动员。他赢得了美国男子棒球冠军。,,9,
The total number of Highland Railway F Class produced is +17.,生产的高地铁路F级总数为+17。,,10,
The population of Tigray Region is 4960003.,提格雷地区的人口为 4960003。,,10,
The total production of the M103 heavy tank is +300.,M103重型坦克的总产量是+300。,,10,
How many inhabitants are there in United States of America?,美国有多少居民？,,10,
What is the most common item?,最常见的物品是什么？,,10,
What item has been made the least?,什么项目最少？,,7,
,,,,
,,,,
,,,"9,626086957",
