English,Target,Score_english,Score_target,Notes
"Lourdes Flores Nano born in Lima, Peru, on October 7, 1959 . She is a lawyer, judge and politician.","Lourdes Flores Nano née à Lima, Pérou, le 7 octobre 1959 . Elle est avocate, juge et politicienne.",,10,
Elin Bragnum (born 1 May 1994 in Stockholm) is a female association football player from Sweden.,Elin Bragnum (née le 1er mai 1994 à Stockholm) est une footballeuse suédoise.,,8,
"Prabhakar Sharan was born in Motihari, India on 22 February 1980. He is an actor who has starred in the films Human and The Man in the Moon.","Prabhakar Sharan est né à Motihari, en Inde, le 22 février 1980. C'est un acteur qui a joué dans les films Human et The Man in the Moon.",,10,
Eppan an der Weinstraße is a neighbouring town of Nals.,Eppan an der Weinstraße est une ville voisine de Nals.,,10,
The town of Fondo is located on the border with Eppan an der Weinstraße.,La ville de Fondo est située à la frontière avec Eppan an der Weinstraße.,,10,
"Joel Waldfogel was born in the United States of America 25, 1962 . He graduated from Brandeis University with an M.A . and is now an economist working at Yale University.",Joel Waldfogel est né aux États-Unis d'Amérique le 25 1962 . Il est diplômé de l'Université Brandeis avec un M.A. et est maintenant un économiste travaillant à l'Université de Yale.,,10,
"Anil Chaudhary was born in Delhi, India on 12 March 1965. He was a cricketer and an umpire. Mr. Chaudhary was a man of many talents.","Anil Chaudhary est né à Delhi, en Inde, le 12 mars 1965. Il était joueur de cricket et arbitre. M. Chaudhary était un homme aux multiples talents.",,10,
Ronzone is located in the same area as Eppan an der Weinstraße.,Ronzone est situé dans le même quartier que Eppan an der Weinstraße.,,10,
"Evgeny Sazonov was born on September 27, 1936 in Saint Petersburg. He graduated from the Theater of Youth Creativity. He was awarded the title of Merited Cultural Worker of the RSFSR. He is a dramaturge who is a performer of the genre of men's music.",Evgeny Sazonov est né le 27 septembre 1936 à Saint-Pétersbourg. Il est diplômé du Théâtre de la créativité des jeunes. Il a reçu le titre de travailleur culturel méritant de la RSFSR. C'est un dramaturge qui est un interprète du genre de la musique masculine.,,9,
"Roland Freund was born in 1955 in Timișoara, Germany . He was a water polo player who competed in the 1976 Summer Olympics . He was a member of the German men's water polo team.","Roland Freund est né en 1955 à Timișoara, en Allemagne. Il était un joueur de water-polo qui a participé aux Jeux olympiques d'été de 1976. Il était membre de l'équipe masculine allemande de water-polo.",,10,
"Kenny Cutler was born 8 March 1982 in Richmond, Virginia, United States of America an association football player and plays for the US men's national football team.","Kenny Cutler est né le 8 mars 1982 à Richmond, Virginie, États-Unis d'Amérique, joueur de football associatif et joue pour l'équipe nationale masculine de football des États-Unis.",,10,
"Romain Duris, a France film actor, was born on May 28, 1974 in Paris . He was a man.","Romain Duris, acteur de cinéma français, est né le 28 mai 1974 à Paris. C'était un homme.",,10,
"Karolina Wigura was born on October 1, 1980 in Warsaw. She is a journalist and sociologist. She graduated from the Faculty of Philosophy and Sociology, University of Warsaw. She is one of the few women in the world to have a doctorate in the same field.",Karolina Wigura est née le 1er octobre 1980 à Varsovie. Elle est journaliste et sociologue. Elle est diplômée de la Faculté de philosophie et de sociologie de l'Université de Varsovie. Elle est l'une des rares femmes au monde à avoir un doctorat dans le même domaine.,,10,
Malosco is bounded by Eppan an der Weinstraße.,Malosco est délimité par Eppan an der Weinstraße.,,10,
"Denisa Vyšnovská is a beauty pageant contestant who was born in Prievidza on August 28, 1995 . Denisa Vyšnovská's genre is human and she is a woman.",Denisa Vyšnovská est une candidate au concours de beauté née à Prievidza le 28 août 1995. Le genre de Denisa Vyšnovská est humain et c'est une femme.,,10,
"Geovani Cortes Gomes football player who plays as a midfielder . Born in Rio de Janeiro on January 23, 1993, he plays for Americano Futebol Clube.","Geovani Cortes Gomes joueur de football qui joue en tant que milieu de terrain . Né à Rio de Janeiro le 23 janvier 1993, il joue pour l'Americano Futebol Clube.",,10,
Unsere Liebe Frau im Walde-St. Felix is a part of Eppan an der Weinstraße.,Unsere Liebe Frau im Walde-St. Felix fait partie d'Eppan an der Weinstraße.,,10,
"The book The Tyranny of the Market was written by Joel Waldfogel and published on October 15, 2007 in the United States by Harvard University Press. The book is a non-fiction work.",Le livre The Tyranny of the Market a été écrit par Joel Waldfogel et publié le 15 octobre 2007 aux États-Unis par Harvard University Press. Le livre est une œuvre non romanesque.,,10,
"Andrian, South Tyrol is bounded by Eppan an der Weinstraße.","Andrian, le Tyrol du Sud est délimité par Eppan an der Weinstraße.",,10,
"Franz Cisar was born in Vienna, Austria-Hungary, on November 28, 1908. He was a football player for Austria-Hungary and he was a man of letters.","Franz Cisar est né à Vienne, en Autriche-Hongrie, le 28 novembre 1908. Il était footballeur pour l'Autriche-Hongrie et il était un homme de lettres.",,10,
The neighbouring town of Kaltern an der Weinstraße is Eppan an der Weinstraße.,La ville voisine de Kaltern an der Weinstraße est Eppan an der Weinstraße.,,10,
"Landry Dimata was born in the Democratic Republic of the Congo on September 1st, 1997. He is a male association football player who represented Belgium.",Landry Dimata est né en République démocratique du Congo le 1er septembre 1997. C'est un footballeur masculin qui a représenté la Belgique.,,10,
Which gender has the most people?,Quel sexe a le plus de personnes ?,,10,
Is Karolina Wigura's job a journalist?,Le métier de Karolina Wigura est-il journaliste ?,,10,
What job has had the highest number of people working there?,Quel emploi a eu le plus grand nombre de personnes qui y travaillaient?,,10,
Who has had the fewest jobs?,Qui a eu le moins d'emplois?,,10,
Which gender has the fewest people?,Quel sexe compte le moins de personnes ?,,10,
How many people are politician?,Combien de personnes sont politiciennes ?,,10,
What does Denisa Vyšnovská do?,Que fait Denisa Vyšnovská ?,,10,
Which people are male?,Quelles personnes sont des hommes ?,,10,
Was Democratic Republic of the Congo the birthplace of André Masson?,La République Démocratique du Congo a-t-elle été le berceau d'André Masson ?,,8,
How many people are female?,Combien de personnes sont des femmes ?,,10,
Is Roland Freund male?,Roland Freund est-il un homme ?,,10,
Where has someone from United States of America gone to university?,Où quelqu'un des États-Unis d'Amérique est-il allé à l'université ?,,10,
The North American P-51 Mustang has a total produced of +16974.,La North American P-51 Mustang a un total produit de +16974.,,10,
NSB Class 66 is produced in total of 4 units.,NSB Class 66 est produit au total à 4 exemplaires.,,10,
The Almirante Grau-class cruiser had a production total of 2 ships.,Le croiseur de classe Almirante Grau avait une production totale de 2 navires.,,10,
"The neighbouring town to Swarkestone is Melbourne, Derbyshire.","La ville voisine de Swarkestone est Melbourne, Derbyshire.",,10,
The total produced by the Highland Railway W Class is 4.,Le total produit par la classe Highland Railway W est de 4.,,10,
Joel Funk Asper is a human being from the United States of America a member of the Republican Party in the U.S.A. and is a man.,"Joel Funk Asper est un être humain des États-Unis d'Amérique, membre du Parti républicain aux États-Unis et c'est un homme.",,10,
The British Rail Class 42 has a total production of +38.,La British Rail Class 42 a une production totale de +38.,,10,
"Stanton by Bridge is a town in Derbyshire which is part of the Melbourne , Derbyshire conurbation.","Stanton by Bridge est une ville du Derbyshire qui fait partie de l'agglomération de Melbourne, Derbyshire.",,10,
Mark 35 torpedo total production is +400.,La production totale de torpilles Mark 35 est de +400.,,10,
"The total produced Junkers Ju 90 is 18,000.",Le total de Junkers Ju 90 produits est de 18 000.,,10,
Ticknall is bordered by Melbourne Derbyshire.,Ticknall est bordé par Melbourne Derbyshire.,,10,
The total produced by the Indian locomotive class XE is +93.,Le total produit par la locomotive indienne de classe XE est de +93.,,10,
CGR 1st Class 0-4-0ST 1876 had a total of 3 engines.,CGR 1st Class 0-4-0ST 1876 avait un total de 3 moteurs.,,10,
The total production of the BMW 3 Series (E30) is +2339520.,La production totale de la BMW Série 3 (E30) est de +2339520.,,10,
The total produced Citroën Méhari is +144953.,Le nombre total de Citroën Méhari produites est de +144953.,,10,
The Cessna 340 has a total production of 1351 aircraft.,Le Cessna 340 a une production totale de 1351 avions.,,10,
"Dornier Do 26 is a monoplane flying boat with a total of 6 produced. Its first flight was May 21, 1938.",Dornier Do 26 est un hydravion monoplan avec un total de 6 produits. Son premier vol a eu lieu le 21 mai 1938.,,10,
7.5 cm Infanteriegeschütz 37 is manufactured in a total of +1304.,"7,5 cm Infanteriegeschütz 37 est fabriqué dans un total de +1304.",,10,
The New South Wales Z20 class locomotive was produced in a total of 33 units.,La locomotive de la classe Z20 de la Nouvelle-Galles du Sud a été produite à 33 exemplaires au total.,,10,
"Calke is a village and civil parish in South Derbyshire, United Kingdom. Melbourne, Derbyshire is a neighbouring city.","Calke est un village et une paroisse civile du sud du Derbyshire, au Royaume-Uni. Melbourne, Derbyshire est une ville voisine.",,10,
The South African Class 8Y 2-8-0 produced a total of 4.,La classe sud-africaine 8Y 2-8-0 a produit un total de 4.,,10,
What items are there?,Quels articles y a-t-il?,,10,
What is the most abundant item?,Quel est l'objet le plus abondant ?,,10,
How many things were manufactured?,Combien de choses ont été fabriquées ?,,10,
What was the largest production run?,Quelle a été la plus grande série de production ?,,10,
What was the smallest production run?,Quelle a été la plus petite série de production ?,,10,
The SJ T45 has a total of 5 units.,Le SJ T45 a un total de 5 unités.,,10,
The South African Class 32-000 had a total produced of 115.,La classe sud-africaine 32-000 avait un total produit de 115.,,10,
The Swiss made Saurer 2DM truck was manufactured by Saurer and entered service in 1964. The total production of the truck is 3200.,Le camion Saurer 2DM de fabrication suisse a été fabriqué par Saurer et est entré en service en 1964. La production totale du camion est de 3200.,,10,
South African Class FD 2-6-2+2-6-2 has a total production of 4.,La classe sud-africaine FD 2-6-2+2-6-2 a une production totale de 4.,,10,
The total produced by Schmidt-Rubin is 1366228.,Le total produit par Schmidt-Rubin est de 1366228.,,10,
The South African Class 35-600 produced a total of 101 cars.,La classe sud-africaine 35-600 a produit un total de 101 voitures.,,10,
The total produced by LCDR Sondes class +6.,Le total produit par LCDR Sondes classe +6.,,10,
Porsche 550 was made in total of +90.,La Porsche 550 a été fabriquée au total à +90.,,10,
The total produced by the Messerschmitt Bf 110 is +6170.,Le total produit par le Messerschmitt Bf 110 est de +6170.,,10,
The NZR RM class (Clayton) has a total of +1 cars made.,La classe NZR RM (Clayton) a un total de +1 voitures fabriquées.,,10,
Ceinture 51 to 65 produced +15.,Ceinture 51 à 65 produit +15.,,10,
The total produced of M3 howitzers is +2580.,Le total produit d'obusiers M3 est de +2580.,,10,
The AEG D.I total produced +3.,Le total AEG D.I produit +3.,,10,
John Sipin is a US national who plays second base for the San Diego Padres. He is known for being a human being.,John Sipin est un ressortissant américain qui joue au deuxième but des Padres de San Diego. Il est connu pour être un être humain.,,10,
The Bliss-Leavitt Mark 3 torpedo produced a total of +208.,La torpille Bliss-Leavitt Mark 3 a produit un total de +208.,,10,
"John Sipin was born in Watsonville, California on August 29, 1946 . He is a United States of America and a baseball player . He has won the US men's championship in baseball.","John Sipin est né à Watsonville, en Californie, le 29 août 1946. Il est américain et joueur de baseball. Il a remporté le championnat masculin américain de baseball.",,10,
The total number of Highland Railway F Class produced is +17.,Le nombre total de Highland Railway F Class produites est de +17.,,10,
The population of Tigray Region is 4960003.,La population de la région du Tigré est de 4960003.,,10,
The total production of the M103 heavy tank is +300.,La production totale du char lourd M103 est de +300.,,10,
How many inhabitants are there in United States of America?,Combien y a-t-il d'habitants aux Etats-Unis d'Amérique ?,,10,
What is the most common item?,Quel est l'élément le plus courant ?,,10,
What item has been made the least?,Quel article a été fabriqué le moins ?,,10,
,,,,
,,,#N/A,
,,,,
,,,,
,,,,
"9,72173913",,,,
